sample_name,A4-A4dr-A4au,A4-A4au-A4dw-A4ab-A4cu-A4av,A4-A4dt-A4dv-A4du-A4dr,A1/A1bx-A1bw-A1bf,A1/A4-A1ac-A1bn,A1-A1ac-A1bn,A4-A4au-A4ab-A4dw-A4cu,B19-B19ai-B19x-B19an,B19-B19ai-B19x-B19al,B19-B19ai-B19x-B19ak,B19-B19ai-B19ak-B19x-B19ay,C3-C3lp,C1-C1b-C1c-C42.2-C1bh-C1br-C3-C1cb,C47a-C42.2-C47e-C44-C47,C3-C1bp-C3dg-C3mo-C3df,C3-C3lp-C3zz-C3zy,C1/C1c-C1al-C1b-C42.2,C1-C1c-C1b-C1al-C72k,C45a-C42.2-C45m-C44i-C44j-C45n-C42ev-C44-C42fb,C42.2/C45a-C44j-C42ev-C42df,C1-C1c-C1am-C1b-C1ao-C1an-C3cm-C42.2,C1-C1b-C1c-C42.2-C1bh-C1cb,C1-C1c-C3-C1b-C42.2-C1bh,C42.2/C45a-C42fb-C44i,C3-C3ed,C1/C42.2/C3/C1c-C1b,C3-C3cl-C3xx-C3xw-C3de,C1,D1-D4-D4c-D1c-D1k-D2,D1/D4/D2-D4c-D1c-D1h,D1-D4-D4c-D1c-D17d-D1r-D17c-D17e,D1-D4-D1os-D4c-D1c,D1-D4-D1c-D2
F11CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,14062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76DRPP,0,0,0,0,0,0,0,0,0,0,0,0,0,12762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78DRPP,0,0,0,0,0,0,0,0,0,0,0,0,0,6278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73DRPP,0,0,0,0,0,0,0,0,0,0,0,0,0,9238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72DRPP,0,0,0,0,0,0,0,0,0,0,0,0,0,12479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7CW22,0,0,0,0,0,255,0,0,0,0,0,0,0,0,7482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8CW23,0,0,0,228,0,0,0,0,0,0,0,0,0,0,2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8CW22,0,0,0,0,1075,0,0,0,0,0,0,0,0,0,3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D2CW22,0,1755,0,0,0,0,0,0,0,0,0,0,0,0,4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6891,0,0,0
A12CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8732,0,0,0
B1CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9271,0,0,0
