sample_uid,sample_name,sample_type,collection_latitude,collection_longitude,collection_depth,Site,timepoint,id,Barcode,full_id,collection_date,coral_species,transplant_group,native_site,transplant_site,native_transplant,home_foreign,parent
198331,A5CW23,coral_field,12.07093,-68.8585,1,,T2,A5CW23,A5,45HBPY,23-Jun,Porites sp.,Bay Native,Bay,Bay,Native,Home,55DBPP
198332,A6CW23,coral_field,12.07093,-68.8585,1,,T2,A6CW23,A6,46HBPY,23-Jun,Porites sp.,Bay Native,Bay,Bay,Native,Home,56DBPP
198333,A7CW23,coral_field,12.07093,-68.8585,1,,T2,A7CW23,A7,47HBPY,23-Jun,Porites sp.,Bay Native,Bay,Bay,Native,Home,57DBPP
198334,A8CW23,coral_field,12.07093,-68.8585,1,,T2,A8CW23,A8,48HBPY,23-Jun,Porites sp.,Bay Native,Bay,Bay,Native,Home,58DBPP
198335,A9CW23,coral_field,12.07093,-68.8585,1,,T2,A9CW23,A9,49HBPY,23-Jun,Porites sp.,Bay Native,Bay,Bay,Native,Home,59DBPP
198393,F7CW23,coral_field,12.06624,-68.86019,5,,T2,F7CW23,F7,71HRPY,23-Jun,Porites sp.,Reef Native,Reef,Reef,Native,Home,71DRPP
198394,F8CW23,coral_field,12.06624,-68.86019,5,,T2,F8CW23,F8,72HRPY,23-Jun,Porites sp.,Reef Native,Reef,Reef,Native,Home,72DRPP
198395,F9CW23,coral_field,12.06624,-68.86019,5,,T2,F9CW23,F9,73HRPY,23-Jun,Porites sp.,Reef Native,Reef,Reef,Native,Home,73DRPP
198396,F10CW23,coral_field,12.06624,-68.86019,5,,T2,F10CW23,F10,74HRPY,23-Jun,Porites sp.,Reef Native,Reef,Reef,Native,Home,74DRPP
198397,F11CW23,coral_field,12.06624,-68.86019,5,,T2,F11CW23,F11,75HRPY,23-Jun,Porites sp.,Reef Native,Reef,Reef,Native,Home,75DRPP
198398,F12CW23,coral_field,12.06624,-68.86019,5,,T2,F12CW23,F12,76HRPY,23-Jun,Porites sp.,Reef Native,Reef,Reef,Native,Home,76DRPP
198399,G1CW23,coral_field,12.06624,-68.86019,5,,T2,G1CW23,G1,77HRPY,23-Jun,Porites sp.,Reef Native,Reef,Reef,Native,Home,77DRPP
198400,G2CW23,coral_field,12.06624,-68.86019,5,,T2,G2CW23,G2,78HRPY,23-Jun,Porites sp.,Reef Native,Reef,Reef,Native,Home,78DRPP
198401,G3CW23,coral_field,12.06624,-68.86019,5,,T2,G3CW23,G3,79HRPY,23-Jun,Porites sp.,Reef Native,Reef,Reef,Native,Home,79DRPP
198356,C6CW23,coral_field,12.06624,-68.86019,5,,T2,C6CW23,C6,51FRPY,23-Jun,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,51DBPP
198357,C7CW23,coral_field,12.06624,-68.86019,5,,T2,C7CW23,C7,52FRPY,23-Jun,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,52DBPP
198358,C8CW23,coral_field,12.06624,-68.86019,5,,T2,C8CW23,C8,53FRPY,23-Jun,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,53DBPP
198359,C9CW23,coral_field,12.06624,-68.86019,5,,T2,C9CW23,C9,54FRPY,23-Jun,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,54DBPP
198360,C10CW23,coral_field,12.06624,-68.86019,5,,T2,C10CW23,C10,55FRPY,23-Jun,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,55DBPP
198361,C11CW23,coral_field,12.06624,-68.86019,5,,T2,C11CW23,C11,56FRPY,23-Jun,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,56DBPP
198362,C12CW23,coral_field,12.06624,-68.86019,5,,T2,C12CW23,C12,57FRPY,23-Jun,Porites sp.,Bay Transplant,Bay,Reef,Transplant,Foreign,57DBPP
198383,E9CW23,coral_field,12.07093,-68.8585,1,,T2,E9CW23,E9,71FBPY,23-Jun,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,71DRPP
198384,E10CW23,coral_field,12.07093,-68.8585,1,,T2,E10CW23,E10,72FBPY,23-Jun,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,72DRPP
198385,E11CW23,coral_field,12.07093,-68.8585,1,,T2,E11CW23,E11,73FBPY,23-Jun,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,73DRPP
198386,E12CW23,coral_field,12.07093,-68.8585,1,,T2,E12CW23,E12,74FBPY,23-Jun,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,74DRPP
198387,F1CW23,coral_field,12.07093,-68.8585,1,,T2,F1CW23,F1,75FBPY,23-Jun,Porites sp.,Reef Transplant,Reef,Bay,Transplant,Foreign,75DRPP
